shipment_id,order_id,priority,predicted_delay_risk,route_priority,coverage_status,green_shipment,event_type,severity,operational_priority_score,operational_priority,recommended_action,business_explanation
SHP000001,ORD000001,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000002,ORD000002,Express,Medium,Low,Secondary,No,Weather Delay,Medium,76,High,Mitigate Disruption,Active disruption detected. Apply contingency plan.
SHP000003,ORD000003,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000004,ORD000004,Standard,Medium,Low,Secondary,Yes,Weather Delay,Medium,56,Medium,Mitigate Disruption,Active disruption detected. Apply contingency plan.
SHP000005,ORD000005,Express,High,Low,Secondary,Yes,No Disruption,None,71,High,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000006,ORD000006,Standard,Medium,Low,Secondary,Yes,No Disruption,None,46,Low,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000007,ORD000007,Express,High,Low,Secondary,Yes,No Disruption,None,71,High,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000008,ORD000008,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000009,ORD000009,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000010,ORD000010,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000011,ORD000011,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000012,ORD000012,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000013,ORD000013,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000014,ORD000014,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000015,ORD000015,Express,Medium,Low,Secondary,No,No Disruption,None,66,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000016,ORD000016,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000017,ORD000017,Express,Medium,Low,Secondary,No,No Disruption,None,66,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000018,ORD000018,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000019,ORD000019,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000020,ORD000020,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000021,ORD000021,Standard,Medium,Low,Secondary,No,Vehicle Breakdown,High,69,Medium,Mitigate Disruption,Active disruption detected. Apply contingency plan.
SHP000022,ORD000022,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000023,ORD000023,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000024,ORD000024,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000025,ORD000025,Express,High,Low,Secondary,No,Weather Delay,Medium,86,Critical,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000026,ORD000026,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000027,ORD000027,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000028,ORD000028,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000029,ORD000029,Standard,Low,Medium,Secondary,Yes,No Disruption,None,42,Low,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000030,ORD000030,Standard,Medium,Low,Secondary,Yes,No Disruption,None,46,Low,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000031,ORD000031,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000032,ORD000032,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000033,ORD000033,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000034,ORD000034,Express,High,Low,Secondary,No,No Disruption,None,76,High,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000035,ORD000035,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000036,ORD000036,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000037,ORD000037,Express,Medium,Low,Secondary,No,No Disruption,None,66,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000038,ORD000038,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000039,ORD000039,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000040,ORD000040,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000041,ORD000041,Express,Low,High,Secondary,Yes,No Disruption,None,65,Medium,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000042,ORD000042,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000043,ORD000043,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000044,ORD000044,Express,Medium,Low,Secondary,Yes,No Disruption,None,61,Medium,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000045,ORD000045,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000046,ORD000046,Standard,Medium,Low,Secondary,Yes,No Disruption,None,46,Low,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000047,ORD000047,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000048,ORD000048,Express,Medium,Low,Secondary,Yes,No Disruption,None,61,Medium,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000049,ORD000049,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000050,ORD000050,Express,High,Low,Secondary,No,No Disruption,None,76,High,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000051,ORD000051,Express,High,Low,Secondary,No,No Disruption,None,76,High,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000052,ORD000052,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000053,ORD000053,Express,Medium,Medium,Secondary,Yes,No Disruption,None,67,Medium,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
SHP000054,ORD000054,Standard,High,Low,Secondary,No,Weather Delay,Medium,71,High,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000055,ORD000055,Express,Medium,Low,Secondary,No,No Disruption,None,66,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000056,ORD000056,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000057,ORD000057,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000058,ORD000058,Standard,High,Low,Secondary,No,No Disruption,None,61,Medium,Prioritize Dispatch,Shipment has high delay risk. Prioritize dispatch to reduce service impact.
SHP000059,ORD000059,Standard,Medium,Low,Secondary,Yes,Vehicle Breakdown,High,64,Medium,Mitigate Disruption,Active disruption detected. Apply contingency plan.
SHP000060,ORD000060,Standard,Medium,Low,Secondary,No,No Disruption,None,51,Medium,Recommend Green Fleet,Shipment sustainability score is low. Consider greener fleet allocation.
SHP000061,ORD000061,Standard,Low,Medium,Secondary,Yes,No Disruption,None,42,Low,Review Warehouse Assignment,Shipment is assigned through a secondary warehouse. Review routing efficiency.
